Zeit	spH	spO2	NStirrer	sTR	sCO2	sO2	FAirIn	sVR	Zeit_FG	FGlucose	Zeit_FN	Fstickstoff
05:48:01.670000	7.0	10.3	500.0	24.4	1.9	9.1	9.0	6.1	2024-10-1308:46:42	2.0	2024-10-1308:46:42	1.0
05:50:01.680000	7.0	10.3	500.0	24.5	1.9	9.1	9.0	6.1	2024-10-1308:46:47	2.0	2024-10-1308:46:47	1.0
05:52:01.690000	7.0	10.3	500.0	24.5	1.9	9.1	9.0	6.1	2024-10-1308:46:52	2.0	2024-10-1308:46:52	1.0
05:54:01.699000	7.0	10.3	500.0	24.6	1.9	9.1	9.0	6.1	2024-10-1308:46:57	2.0	2024-10-1308:46:57	1.0
05:56:01.709000	7.0	10.3	500.0	24.6	1.9	9.1	9.0	6.1	2024-10-1308:47:02	2.0	2024-10-1308:47:02	1.0
05:58:01.718000	7.0	10.3	500.0	24.6	1.9	9.1	9.0	6.1	2024-10-1308:47:07	2.0	2024-10-1308:47:07	1.0
06:00:01.728000	7.0	10.3	500.0	24.7	1.9	9.1	9.0	6.1	2024-10-1308:47:12	2.0	2024-10-1308:47:12	1.0
06:02:01.738000	7.0	10.3	500.0	24.7	1.9	9.1	9.0	6.1	2024-10-1308:47:17	2.0	2024-10-1308:47:17	1.0
06:04:01.747000	7.0	10.3	500.0	24.8	1.9	9.1	9.0	6.1	2024-10-1308:47:22	2.0	2024-10-1308:47:22	1.0
06:06:01.757000	7.0	10.3	500.0	24.8	1.9	9.1	9.0	6.1	2024-10-1308:47:27	2.0	2024-10-1308:47:27	1.0
